iter	Recall	Logloss
0	0.775	0.6919851914
1	0.76	0.690550326
2	0.8	0.6889175504
3	0.82	0.6877523751
4	0.8275	0.6862640643
5	0.8225	0.6851849671
6	0.8375	0.6840977046
7	0.83	0.6827950523
8	0.825	0.6814419108
9	0.8225	0.6799757263
10	0.82	0.6786691551
11	0.805	0.6775890477
12	0.8075	0.6760780059
13	0.8075	0.6747818728
14	0.81	0.6737469669
15	0.8125	0.6723856775
16	0.815	0.6713585213
17	0.8225	0.669805656
18	0.8225	0.6685854943
19	0.8225	0.6676072503
20	0.8125	0.6664468663
21	0.82	0.6652419381
22	0.8275	0.6635773579
23	0.83	0.662311027
24	0.8225	0.6611671663
25	0.825	0.6598107717
26	0.8225	0.6587931466
27	0.82	0.6574326755
28	0.825	0.6567381655
29	0.835	0.655576495
30	0.825	0.6542198036
31	0.83	0.6529014003
32	0.8275	0.6518261064
33	0.825	0.6509031264
34	0.8275	0.6497472481
35	0.84	0.6489020482
36	0.8375	0.6476223717
37	0.84	0.646739149
38	0.845	0.6453869966
39	0.8475	0.644080996
40	0.85	0.6431467965
41	0.8425	0.6420799159
42	0.84	0.6410759979
43	0.8475	0.6400020944
44	0.845	0.6388888298
45	0.85	0.6377773821
46	0.85	0.6367638938
47	0.86	0.6355018356
48	0.86	0.6340443898
49	0.8575	0.6329239017
50	0.8575	0.6317760444
51	0.855	0.6310151955
52	0.855	0.6301800005
53	0.855	0.6292310733
