iter	Passed	Remaining
0	59	177753
1	76	113973
2	91	91212
3	108	81575
4	128	76834
5	150	75086
6	185	79504
7	353	132313
8	400	132963
9	423	126545
10	448	121787
11	475	118506
12	504	115939
13	537	114555
14	589	117285
15	641	119695
16	676	118745
17	772	128055
18	817	128327
19	860	128141
20	890	126268
21	942	127621
22	1006	130267
23	1116	138488
24	1228	146220
25	1304	149238
26	1368	150733
27	1431	151895
28	1465	150110
29	1491	147706
30	1536	147175
31	1569	145525
32	1612	144938
33	1668	145519
34	1742	147613
35	1813	149297
36	1879	150495
37	1924	150013
38	1974	149914
39	2022	149635
40	2071	149520
41	2137	150531
42	2197	151098
43	2252	151303
44	2295	150723
45	2340	150269
46	2382	149661
47	2427	149316
48	2461	148222
49	2486	146718
50	2511	145232
51	2556	144953
52	2585	143738
53	2616	142723
